
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Fri Jul 23 15:23:55 2021,15,39616,743.2935059634514,0.9010726546396791,1.0062869151267182
1,Fri Jul 23 15:23:55 2021,19,8448,376.61731573020285,0.7484507050387843,1.0085822907273836
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Fri Jul 23 15:23:55 2021,12,64768,1110.7981233214462,0.659629508907,1.0418191369814114
2,Fri Jul 23 15:23:55 2021,13,46816,868.0041840821061,0.7808372642824575,1.1225380535319722
4,Fri Jul 23 15:23:55 2021,1,46400,919.4356415871822,0.6897396217899524,1.0870282000636167
6,Fri Jul 23 15:23:55 2021,6,23616,777.636651713959,0.49075277142646295,1.1283469074091967
11,Fri Jul 23 15:23:55 2021,11,58304,1102.940258945177,0.602288035800833,1.02578458543269
16,Fri Jul 23 15:23:55 2021,19,39584,809.5189027078676,0.7590590341860511,1.2352693712607747
17,Fri Jul 23 15:23:55 2021,7,42256,818.6072144624361,0.7924048267460898,1.2170418104270015
18,Fri Jul 23 15:23:55 2021,4,63008,936.8326112068523,0.9021558262129366,1.0055495813054516
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Fri Jul 23 15:23:55 2021,14,39472,740.38181771802,0.9048727433040895,1.0086879444270507
1,Fri Jul 23 15:23:55 2021,18,28432,746.6072144624361,0.6409629258751853,1.1620152531301409
5,Fri Jul 23 15:23:55 2021,6,39088,818.6072144624361,0.7329969677170382,1.1063766010634768
8,Fri Jul 23 15:23:55 2021,1,39808,800.9503602129437,0.7797744851608279,1.140349923578418
9,Fri Jul 23 15:23:55 2021,10,40864,863.6021638285528,0.6885306789749845,1.0892805749046006
10,Fri Jul 23 15:23:55 2021,8,49280,852.5483399593903,0.8520057720639552,1.1481248905381292
11,Fri Jul 23 15:23:55 2021,3,23504,618.1564209736038,0.7729561784593367,1.1854699372390938
12,Fri Jul 23 15:23:55 2021,20,15920,482.9604614807104,0.8576888648332398,1.0320334957307165
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Fri Jul 23 15:23:55 2021,9,32208,673.0681092190353,0.8934198435754489,1.03131087246319
1,Fri Jul 23 15:23:55 2021,17,20848,578.4406922210657,0.7829906717278057,1.1474092173978743
3,Fri Jul 23 15:23:55 2021,20,61712,969.1168824543142,0.8257092828087175,1.1135919845253783
5,Fri Jul 23 15:23:55 2021,2,29104,665.7544007200504,0.8251529449963417,1.2779965528446484
,time
0,Fri Jul 23 15:23:55 2021
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Fri Jul 23 15:31:11 2021,15,35408,694.7249634685277,0.9219034737160307,1.0132712273667326
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Fri Jul 23 15:31:11 2021,12,63184,1024.8569978244918,0.7559454174509047,1.0562201034483933
2,Fri Jul 23 15:31:11 2021,13,46368,907.3178925810909,0.7077979118658839,1.0628093386824626
3,Fri Jul 23 15:31:11 2021,6,21712,746.0630585851519,0.490183424559523,1.2995995947125614
9,Fri Jul 23 15:31:11 2021,1,46912,1223.082394568908,0.3940781747273995,1.0577382167523846
11,Fri Jul 23 15:31:11 2021,11,57328,1097.7098115668775,0.5978628426931432,1.0861156312243314
15,Fri Jul 23 15:31:11 2021,19,44336,861.8031739553294,0.750153593449704,1.2505196558495588
16,Fri Jul 23 15:31:11 2021,15,8336,490.2741699796952,0.4358023258885979,1.5357093898712568
20,Fri Jul 23 15:31:11 2021,7,41856,825.0924958366747,0.7726135346061005,1.352539332829029
21,Fri Jul 23 15:31:11 2021,4,62000,929.8031739553296,0.901196517536206,1.0046871470915562
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Fri Jul 23 15:31:11 2021,14,39968,749.352380466497,0.8944377041256563,1.0176934232116832
1,Fri Jul 23 15:31:11 2021,18,32176,846.6072144624361,0.5641284300802103,1.1325284369810906
4,Fri Jul 23 15:31:11 2021,6,42160,926.891485709898,0.6166698003421308,1.133054852491682
7,Fri Jul 23 15:31:11 2021,1,37872,787.0092347159895,0.7683665461031717,1.2675493381780127
9,Fri Jul 23 15:31:11 2021,10,39872,884.288455329568,0.6407520056559416,1.0558180040362375
12,Fri Jul 23 15:31:11 2021,8,48864,891.5777772109134,0.7724678430632529,1.2769043166617484
15,Fri Jul 23 15:31:11 2021,3,22976,618.8427124746189,0.7539173267658453,1.254752843884101
17,Fri Jul 23 15:31:11 2021,20,13856,469.9898987322333,0.7882621813157623,1.01020148832677
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Fri Jul 23 15:31:11 2021,9,30176,666.4406922210657,0.853785001914302,1.075217058963153
2,Fri Jul 23 15:31:11 2021,17,20352,595.1269837220809,0.7221005466609897,1.1989100748123265
5,Fri Jul 23 15:31:11 2021,20,62512,1026.7981233214462,0.7450803766256923,1.154618920977348
6,Fri Jul 23 15:31:11 2021,2,27376,716.38181771802,0.670333227011394,1.2149410136177745
,time
0,Fri Jul 23 15:31:11 2021
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Fri Jul 23 15:38:07 2021,15,30016,650.0386719675123,0.8926563361319263,1.006068941968765
,time,body_number,area_scaled,perimeter_scaled,circularity,AR
0,Fri Jul 23 15:38:07 2021,12,61136,1061.9696961967,0.6812125433027619,1.0858625931053267
3,Fri Jul 23 15:38:07 2021,13,45312,929.5189027078676,0.6590322138547088,1.0356436661673687
5,Fri Jul 23 15:38:07 2021,6,20320,756.5483399593904,0.44612874054732915,1.3326484445025333
